SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-518f	0	-1.12377	2.41959	0
hsa-miR-518f*	0	-2.00089	2.4203	0
hsa-miR-519a	0	-1.34429	2.41986	0
hsa-miR-519b-3p	0	0.764617	2.42367	0
hsa-miR-519c-3p	0	-0.241137	2.42059	0
hsa-miR-519d	0	2.62233	2.43758	0
hsa-miR-519e	0	3.83814	2.44415	0
hsa-miR-519e*	0	-2.73715	2.41911	0
hsa-miR-520a-3p	0	3.31284	2.43623	0
hsa-miR-520a-5p	0	-2.13974	2.41938	0
hsa-miR-520b	0	3.79451	2.43767	0
hsa-miR-520c-3p	0	2.2073	2.42894	0
hsa-miR-520d-3p	0	7.68002	2.49188	0
hsa-miR-520d-5p	0	0.688411	2.42475	0
