	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1652490	135.8454	139.5295	126.0542	172.7608	154.5401
ILMN_1652494	112.1497	109.1052	107.3466	102.2996	110.5797
ILMN_1652505	982.4168	1058.375	1599.912	1639.95	1161.476
ILMN_1652507	110.8915	114.9688	133.5984	116.647	124.8829
ILMN_1652512	442.8476	334.854	444.5552	403.1704	468.2468
ILMN_1652521	112.8452	116.2473	106.9957	402.9472	496.7574
ILMN_1652525	272.6354	287.2588	413.4115	346.6519	469.8624
ILMN_1652527	135.5726	118.8787	113.2614	110.73	132.504
ILMN_1652533	175.3443	197.3781	211.5946	234.8301	235.4709
ILMN_1652540	122.4667	114.4323	120.5535	459.0745	372.6376
ILMN_1652549	243.9889	282.7789	414.7552	443.7326	344.5237
ILMN_1652550	117.7657	116.7924	125.1993	122.9048	129.7438
ILMN_1652574	125.564	129.5451	122.9203	125.3716	113.3976
ILMN_1652577	145.7778	125.6464	110.9774	135.4071	142.068
ILMN_1652578	217.2448	225.1759	197.0042	104.7011	100.9944
ILMN_1652580	782.3296	1077.462	1530.816	981.2931	864.4719
ILMN_1652594	315.655	314.1515	427.6761	391.0791	259.2097
ILMN_1652602	181.4497	171.7216	169.6063	142.2392	133.5036
ILMN_1652604	129.5814	132.3556	142.6987	117.3769	121.1384
ILMN_1652609	149.5895	136.1472	118.9975	132.8536	115.1964
ILMN_1652611	117.9608	121.6631	127.3198	129.8926	123.0097
ILMN_1652628	132.9206	125.1016	119.5487	136.5701	152.2334
ILMN_1652631	814.5172	656.3157	1249.867	1339.182	1222.236
ILMN_1652638	198.3168	176.3546	137.3012	188.1423	188.8648
ILMN_1652639	128.556	143.1021	136.7188	121.8386	130.801
ILMN_1652646	302.0128	352.6639	448.9489	132.9643	136.039
ILMN_1652647	214.2118	231.8837	199.9391	143.0256	161.9307
ILMN_1652649	109.8602	142.9812	120.7894	159.4545	170.7479
ILMN_1652650	1762.971	2211.209	3376.572	112.8223	111.2372
ILMN_1652660	117.2661	114.8047	123.8584	134.798	122.4265
ILMN_1652662	200.8855	226.4797	281.8595	234.7734	206.9746
ILMN_1652666	214.7893	209.3465	135.3074	129.9523	140.562
ILMN_1652670	121.9795	107.7034	117.9642	131.6599	128.0341
ILMN_1652674	124.8504	138.9727	129.45	132.3053	114.9177
ILMN_1652677	136.229	140.937	229.2872	271.9233	272.7132
ILMN_1652680	132.8456	123.4018	127.6601	122.9414	115.0181
ILMN_1652685	121.709	127.9472	117.8515	134.6155	133.9092
ILMN_1652687	3270.122	3553.437	2473.531	131.0371	137.2449
ILMN_1652689	126.0502	135.3418	125.6237	225.4415	184.978
ILMN_1652693	7882.096	6665.585	2684.711	108.3613	112.8924
ILMN_1652694	123.9031	123.3586	122.2238	142.2178	124.4784
ILMN_1652700	125.3056	123.8927	124.261	147.8806	158.4844
ILMN_1652701	119.5617	137.1317	134.1441	125.8073	134.4451
ILMN_1652711	106.7128	116.5415	116.9932	121.1787	129.4195
ILMN_1652715	117.3705	112.9603	116.9197	127.6784	108.8782
ILMN_1652716	146.1915	131.0838	112.4372	108.0533	109.0569
ILMN_1652719	549.0316	617.7888	502.2144	117.1138	128.7509
ILMN_1652721	122.5122	127.0293	115.6128	186.6611	149.7779
ILMN_1652722	1498.025	1523.405	2048.608	1821.729	1656.721
ILMN_1652727	133.8751	125.2828	120.3545	115.8462	136.5202
ILMN_1652729	110.9602	114.685	103.1736	106.9545	118.8305
ILMN_1652732	125.8986	117.771	111.8298	130.3616	121.6008
ILMN_1652735	924.8101	1076.462	2067.653	227.8188	273.8049
ILMN_1652736	294.1129	321.1576	230.1831	138.5993	171.1778
ILMN_1652737	146.8362	167.6732	153.2241	113.8466	121.6713
ILMN_1652740	122.0477	130.8427	123.8132	125.5169	130.0677
ILMN_1652745	166.9862	179.085	160.25	111.8534	108.2852
ILMN_1652747	144.4489	119.632	120.0271	138.0296	142.1318
ILMN_1652749	492.9029	506.1373	969.2422	884.3496	749.0849
ILMN_1652753	3896.918	4274.172	3770.795	1689.026	2025.796
