SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-424*	0	1.17952	2.19843	0
hsa-miR-425	0	3536.83	286.168	1
hsa-miR-425*	0	14.9198	2.55874	1
hsa-miR-429	0	1.83056	2.20348	0
hsa-miR-431	0	194.512	17.6315	1
hsa-miR-431*	0	0.66753	1.55524	0
hsa-miR-432	0	213.544	16.5853	1
hsa-miR-432*	0	0.164894	1.54895	0
hsa-miR-433	0	21.9019	3.05921	1
hsa-miR-448	0	-1.40085	1.54853	0
hsa-miR-449a	0	4.2853	2.23349	0
hsa-miR-449b	0	1.44516	1.80117	0
hsa-miR-450a	0	6.61489	2.24679	0
hsa-miR-450b-3p	0	-1.09096	1.54725	0
hsa-miR-450b-5p	0	0.10731	1.54907	0
hsa-miR-451	0	21292.4	1546.99	1
hsa-miR-452	0	21.4641	2.71617	1
hsa-miR-452*	0	-0.491218	1.55016	0
hsa-miR-453	0	-0.227002	1.55052	0
hsa-miR-454	0	321.111	29.6806	1
hsa-miR-454*	0	26.4567	2.58299	1
hsa-miR-455-3p	0	-1.01422	2.19407	0
hsa-miR-455-5p	0	0.474962	2.20457	0
hsa-miR-483-3p	0	3.61945	2.21456	0
hsa-miR-483-5p	0	6.39233	2.24549	0
hsa-miR-484	0	656.108	53.9521	1
hsa-miR-485-3p	0	863.773	76.4182	1
hsa-miR-485-5p	0	77.5038	6.6661	1
hsa-miR-486-3p	0	87.4511	7.54428	1
hsa-miR-486-5p	0	2045.48	154.786	1
hsa-miR-487a	0	216.341	18.4328	1
hsa-miR-487b	0	389.734	33.3871	1
hsa-miR-488	0	-0.140029	2.18988	0
hsa-miR-488*	0	-1.29644	2.18797	0
hsa-miR-489	0	-1.12937	2.18935	0
hsa-miR-490-3p	0	24.1956	2.7921	1
hsa-miR-490-5p	0	7.81855	1.70745	1
hsa-miR-491-3p	0	-1.0087	1.54949	0
hsa-miR-491-5p	0	8.16428	1.76715	1
hsa-miR-492	0	-0.650431	2.1893	0
hsa-miR-493	0	1.9079	1.56066	0
hsa-miR-493*	0	68.5517	6.5375	1
hsa-miR-494	0	30.9262	3.13329	1
hsa-miR-495	0	258.666	21.3008	1
hsa-miR-496	0	8.61118	2.34329	1
hsa-miR-497	0	99.3779	9.17989	1
hsa-miR-497*	0	-1.32697	1.54939	0
hsa-miR-498	0	2.8875	2.20413	0
hsa-miR-499-3p	0	-2.14084	1.5491	0
hsa-miR-499-5p	0	2.43009	2.19845	0
hsa-miR-500	0	-1.05312	1.79999	0
hsa-miR-500*	0	57.3645	5.19221	1
hsa-miR-501-3p	0	17.1963	2.07768	1
hsa-miR-501-5p	0	3.9948	1.57148	0
hsa-miR-502-3p	0	39.4795	4.08272	1
hsa-miR-502-5p	0	19.205	2.74764	1
hsa-miR-503	0	97.5849	7.28464	1
hsa-miR-504	0	-0.672607	1.54755	0
hsa-miR-505	0	214.388	18.3201	1
hsa-miR-505*	0	125.806	8.79922	1
hsa-miR-506	0	-1.73968	2.18846	0
hsa-miR-507	0	-0.541803	2.19351	0
hsa-miR-508-3p	0	-0.587914	2.18865	0
hsa-miR-508-5p	0	-2.12905	1.79392	0
hsa-miR-509-3-5p	0	-1.90209	2.18807	0
hsa-miR-509-3p	0	-0.6067	2.19003	0
hsa-miR-509-5p	0	-2.42166	2.18802	0
hsa-miR-510	0	-2.83437	2.18781	0
hsa-miR-511	0	-0.782214	1.54776	0
hsa-miR-512-3p	0	-0.491478	2.19228	0
hsa-miR-512-5p	0	-0.814232	2.18943	0
hsa-miR-513a-3p	0	-2.07009	1.54754	0
hsa-miR-513a-5p	0	5.4056	2.24139	0
hsa-miR-513b	0	1.28531	1.55522	0
hsa-miR-513c	0	1.32623	1.55117	0
hsa-miR-514	0	-0.565593	2.18931	0
hsa-miR-515-3p	0	-0.580158	2.19016	0
hsa-miR-515-5p	0	-1.70612	1.79422	0
hsa-miR-516a-3p	0	-0.769862	1.79699	0
hsa-miR-516a-5p	0	-1.42736	2.18841	0
hsa-miR-516b	0	-0.89187	2.1887	0
hsa-miR-517*	0	-0.988962	2.1888	0
hsa-miR-517a	0	1.06957	2.19583	0
hsa-miR-517b	0	0.434104	2.19075	0
hsa-miR-517c	0	-0.256405	2.19098	0
hsa-miR-518a-3p	0	-1.70428	2.18796	0
hsa-miR-518b	0	0.309995	2.1949	0
hsa-miR-518c	0	0.261388	2.19505	0
